Test Error,Best Iteration,base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,scale_pos_weight,subsample
0.870043,108,0.932777311092,gbtree,0.5,0.5,0.1,auc,0,2,16,1,binary:logistic,0.0720672427472,1.0
0.870516,292,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,1,16,1,binary:logistic,0.0720672427472,1.0
0.870312,474,0.932777311092,gbtree,0.5,0.5,0.1,auc,1,2,16,1,binary:logistic,0.0720672427472,1.0
0.87248,1725,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,6,0,binary:logistic,0.0720672427472,0.5
0.871386,1808,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,6,0,binary:logistic,0.0720672427472,0.5
0.871521,2972,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,6,0,binary:logistic,0.0720672427472,0.5
0.868642,2994,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,6,0,binary:logistic,0.0720672427472,0.5
0.870045,1129,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,10,0,binary:logistic,0.0720672427472,0.5
0.869605,1202,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,10,0,binary:logistic,0.0720672427472,0.5
0.871407,2944,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,10,0,binary:logistic,0.0720672427472,0.5
0.869631,2996,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,10,0,binary:logistic,0.0720672427472,0.5
0.868421,1129,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,16,0,binary:logistic,0.0720672427472,0.5
0.86844,1153,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,16,0,binary:logistic,0.0720672427472,0.5
0.872341,2998,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,16,0,binary:logistic,0.0720672427472,0.5
0.869432,2997,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,16,0,binary:logistic,0.0720672427472,0.5
0.870163,117,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,6,0,binary:logistic,0.0720672427472,0.5
0.870091,196,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,6,0,binary:logistic,0.0720672427472,0.5
0.872815,1048,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,6,0,binary:logistic,0.0720672427472,0.5
0.870063,719,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,6,0,binary:logistic,0.0720672427472,0.5
0.868526,89,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,10,0,binary:logistic,0.0720672427472,0.5
0.866851,97,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,10,0,binary:logistic,0.0720672427472,0.5
0.871261,327,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,10,0,binary:logistic,0.0720672427472,0.5
0.870032,559,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,10,0,binary:logistic,0.0720672427472,0.5
0.864276,90,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,16,0,binary:logistic,0.0720672427472,0.5
0.865452,114,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,16,0,binary:logistic,0.0720672427472,0.5
0.872025,382,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,16,0,binary:logistic,0.0720672427472,0.5
0.871259,932,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,16,0,binary:logistic,0.0720672427472,0.5
0.872988,1613,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,6,0,binary:logistic,0.0720672427472,1.0
0.872797,1938,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,6,0,binary:logistic,0.0720672427472,1.0
0.872105,2966,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,6,0,binary:logistic,0.0720672427472,1.0
0.870986,2973,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,6,0,binary:logistic,0.0720672427472,1.0
0.871176,1221,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,10,0,binary:logistic,0.0720672427472,1.0
0.870925,1417,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,10,0,binary:logistic,0.0720672427472,1.0
0.872913,2984,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,10,0,binary:logistic,0.0720672427472,1.0
0.871763,2996,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,10,0,binary:logistic,0.0720672427472,1.0
0.868713,1245,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,16,0,binary:logistic,0.0720672427472,1.0
0.869364,1285,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,16,0,binary:logistic,0.0720672427472,1.0
0.873099,2942,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,16,0,binary:logistic,0.0720672427472,1.0
0.872122,2980,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,16,0,binary:logistic,0.0720672427472,1.0
0.871563,186,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,6,0,binary:logistic,0.0720672427472,1.0
0.872152,222,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,6,0,binary:logistic,0.0720672427472,1.0
0.871616,723,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,6,0,binary:logistic,0.0720672427472,1.0
0.871886,785,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,6,0,binary:logistic,0.0720672427472,1.0
0.870802,115,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,10,0,binary:logistic,0.0720672427472,1.0
0.870404,144,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,10,0,binary:logistic,0.0720672427472,1.0
0.872425,410,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,10,0,binary:logistic,0.0720672427472,1.0
0.872144,630,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,10,0,binary:logistic,0.0720672427472,1.0
0.866017,108,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,16,0,binary:logistic,0.0720672427472,1.0
0.868188,123,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,16,0,binary:logistic,0.0720672427472,1.0
0.872761,344,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,16,0,binary:logistic,0.0720672427472,1.0
0.872253,1571,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,16,0,binary:logistic,0.0720672427472,1.0
0.870293,1401,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,6,1,binary:logistic,0.0720672427472,0.5
0.869794,1597,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,6,1,binary:logistic,0.0720672427472,0.5
0.869704,2974,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,6,1,binary:logistic,0.0720672427472,0.5
0.868905,2976,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,6,1,binary:logistic,0.0720672427472,0.5
0.869698,1104,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,10,1,binary:logistic,0.0720672427472,0.5
0.869646,1354,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,10,1,binary:logistic,0.0720672427472,0.5
0.870178,2948,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,10,1,binary:logistic,0.0720672427472,0.5
0.868568,2961,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,10,1,binary:logistic,0.0720672427472,0.5
0.869541,1114,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,16,1,binary:logistic,0.0720672427472,0.5
0.869438,1320,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,16,1,binary:logistic,0.0720672427472,0.5
0.869726,2584,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,16,1,binary:logistic,0.0720672427472,0.5
0.868713,2991,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,16,1,binary:logistic,0.0720672427472,0.5
0.870527,147,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,6,1,binary:logistic,0.0720672427472,0.5
0.867687,172,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,6,1,binary:logistic,0.0720672427472,0.5
0.870729,433,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,6,1,binary:logistic,0.0720672427472,0.5
0.869116,737,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,6,1,binary:logistic,0.0720672427472,0.5
0.868519,94,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,10,1,binary:logistic,0.0720672427472,0.5
0.868736,158,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,10,1,binary:logistic,0.0720672427472,0.5
0.869345,464,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,10,1,binary:logistic,0.0720672427472,0.5
0.869505,1307,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,10,1,binary:logistic,0.0720672427472,0.5
0.866798,104,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,16,1,binary:logistic,0.0720672427472,0.5
0.867573,168,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,16,1,binary:logistic,0.0720672427472,0.5
0.869198,604,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,16,1,binary:logistic,0.0720672427472,0.5
0.868936,789,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,16,1,binary:logistic,0.0720672427472,0.5
0.87089,1530,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,6,1,binary:logistic,0.0720672427472,1.0
0.871133,1669,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,6,1,binary:logistic,0.0720672427472,1.0
0.870074,1976,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,6,1,binary:logistic,0.0720672427472,1.0
0.868908,2984,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,6,1,binary:logistic,0.0720672427472,1.0
0.869922,1426,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,10,1,binary:logistic,0.0720672427472,1.0
0.870513,1442,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,10,1,binary:logistic,0.0720672427472,1.0
0.870593,2862,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,10,1,binary:logistic,0.0720672427472,1.0
0.870142,2970,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,10,1,binary:logistic,0.0720672427472,1.0
0.869514,1076,0.932777311092,dart,0.5,0.5,0.01,auc,0,1,16,1,binary:logistic,0.0720672427472,1.0
0.869294,1232,0.932777311092,dart,0.5,0.5,0.01,auc,0,2,16,1,binary:logistic,0.0720672427472,1.0
0.870513,2146,0.932777311092,dart,0.5,0.5,0.01,auc,1,1,16,1,binary:logistic,0.0720672427472,1.0
0.870289,2980,0.932777311092,dart,0.5,0.5,0.01,auc,1,2,16,1,binary:logistic,0.0720672427472,1.0
0.869886,249,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,6,1,binary:logistic,0.0720672427472,1.0
0.869646,149,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,6,1,binary:logistic,0.0720672427472,1.0
0.871471,849,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,6,1,binary:logistic,0.0720672427472,1.0
0.868916,509,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,6,1,binary:logistic,0.0720672427472,1.0
0.869903,125,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,10,1,binary:logistic,0.0720672427472,1.0
0.870624,148,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,10,1,binary:logistic,0.0720672427472,1.0
0.870712,202,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,10,1,binary:logistic,0.0720672427472,1.0
0.87049,426,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,10,1,binary:logistic,0.0720672427472,1.0
0.868954,125,0.932777311092,dart,0.5,0.5,0.1,auc,0,1,16,1,binary:logistic,0.0720672427472,1.0
0.868113,130,0.932777311092,dart,0.5,0.5,0.1,auc,0,2,16,1,binary:logistic,0.0720672427472,1.0
0.87037,198,0.932777311092,dart,0.5,0.5,0.1,auc,1,1,16,1,binary:logistic,0.0720672427472,1.0
0.870203,404,0.932777311092,dart,0.5,0.5,0.1,auc,1,2,16,1,binary:logistic,0.0720672427472,1.0
